n_items,depth,tie_probability,noise_scale,inversion_fraction,law,trials,d_adj_mean,d_adj_sd,kendall_mean,kendall_sd,spearman_mean,spearman_sd,top10_jaccard_mean,top10_jaccard_sd,stable_inversion_mean,stable_inversion_sd,floor_adjusted_kendall_mean,floor_adjusted_kendall_sd,floor_adjusted_spearman_mean,floor_adjusted_spearman_sd,floor_adjusted_jaccard_mean,floor_adjusted_jaccard_sd,d_adj_mae_to_latent_truth,d_adj_bias_to_latent_truth,kendall_mae_to_latent_truth,kendall_bias_to_latent_truth,spearman_mae_to_latent_truth,spearman_bias_to_latent_truth,top10_jaccard_mae_to_latent_truth,top10_jaccard_bias_to_latent_truth,stable_coverage_mean
100,5,0.1,1.0,0.05,student_t_heavy_tailed,500,0.03893418375675954,0.01710399284572013,0.04731878787878789,0.007871824535616979,0.014436486648664867,0.004261734432159383,0.24786147186147184,0.1313793924147408,0.0009453770949334713,0.0013411797055434633,0.020857979797979796,0.0072285925913789,0.004225613561356136,0.003406197950826093,0.02046053946053946,0.12842584971027152,0.014580102540557076,-0.00619430109172531,0.005875151515151515,0.0021903030303030303,0.006637014701470148,0.006637014701470148,0.09924209124209125,0.0625867465867466,0.6893470707070708
100,5,0.1,1.0,0.1,student_t_heavy_tailed,500,0.07421767804305685,0.0183051596640289,0.08167636363636363,0.013345248385314985,0.03316564356435644,0.008208118560826295,0.36725507825507825,0.13655257935438725,0.010974303205949524,0.005441805960075329,0.05524727272727272,0.011888454568289245,0.022919312931293127,0.007298781373043572,0.14069430569430572,0.13925308181006546,0.019500388990919278,-0.014993635088256279,0.008643636363636364,-0.007534949494949495,0.006377386738673867,0.006330588058805881,0.08456093906093906,0.03550865800865802,0.6626133333333333
100,5,0.1,1.0,0.2,student_t_heavy_tailed,500,0.1590571788593001,0.02506896972845311,0.160219797979798,0.02774518718450622,0.09625993399339933,0.02215063643193377,0.5587002515887965,0.12990579856158804,0.06729672078218203,0.022693558766790422,0.13418969696969696,0.02600323259082794,0.0855050105010501,0.022091045172474157,0.31940587929442427,0.13598107715516045,0.022116355473931214,-0.017423225181103945,0.016382626262626262,-0.01626060606060606,0.007131845184518451,0.006297833783378337,0.057173533209136936,-0.0004906392197413889,0.6148080808080808
100,5,0.1,1.0,0.4,student_t_heavy_tailed,500,0.3626657631874299,0.032545134174910055,0.3310771717171717,0.05046420719550946,0.31395044704470443,0.052108019951837635,0.8465499759957965,0.09733438371370508,0.29652337617875413,0.06330554688547722,0.30661919191919196,0.04939367188374811,0.29922349834983497,0.0545022029414451,0.617118407564228,0.13950063677216246,0.02632397918579736,-0.005118883277216594,0.036707474747474746,-0.036707474747474746,0.009837317731773175,0.0039170477047704745,0.037059277152156414,-0.01621294563709425,0.5111046464646464
100,10,0.1,1.0,0.0,student_t_heavy_tailed,500,0.029389701305989207,0.019519430402505512,0.020349898989898994,0.004384658996030089,0.0062178277827782775,0.0023441366582204145,0.1526486846486846,0.11858504530142706,0.0,0.0,0.003708686868686868,0.004503463576233911,-0.0008428892889288928,0.00195469496143852,-0.015978354978354977,0.10505894875365404,0.029445994031221324,0.029389701305989207,0.020349898989898994,0.020349898989898994,0.0062178277827782775,0.0062178277827782775,0.1526486846486846,0.1526486846486846,0.7389668686868687
100,10,0.1,1.0,0.05,student_t_heavy_tailed,500,0.049528399908172656,0.017545925407879814,0.040185050505050515,0.007174805467452378,0.01323996399639964,0.0037055037625076687,0.2246220446220446,0.1250773427740805,0.0015273432715784178,0.0016274282202811872,0.023309494949494948,0.0063063932820317985,0.006093718871887188,0.0031727025402026,0.04997102897102897,0.11745139242337453,0.012762731609019489,0.003898904958677707,0.006839191919191919,-0.0054444444444444445,0.005376393639363936,0.005376393639363936,0.08752247752247753,0.040257742257742264,0.7229006060606061
100,10,0.1,1.0,0.1,student_t_heavy_tailed,500,0.09045236404448528,0.019730334641378015,0.07579030303030303,0.013630835946212958,0.0324472607260726,0.007754008024487743,0.34218248418248415,0.13951071419699537,0.014408890248548013,0.005965599732797353,0.059132525252525256,0.012210502824586165,0.025317755775577554,0.007231066677593782,0.16572993672993674,0.13976340933301634,0.011817425772880316,0.000214788286909519,0.0146379797979798,-0.014447272727272727,0.005184788478847884,0.0050861086108610854,0.0675830835830836,0.012901764901764907,0.6969284848484848
100,10,0.1,1.0,0.2,student_t_heavy_tailed,500,0.1841452578818488,0.024666529273628147,0.15319636363636363,0.027894544941561742,0.09555432043204322,0.021521732634083142,0.5474584369878487,0.13412884693906157,0.07753651024505555,0.02317332555040778,0.13710545454545456,0.026314566542207256,0.08804178067806781,0.021346717618886814,0.3773815139109257,0.14758781362197848,0.012974590602999702,0.006588086164677091,0.02436080808080808,-0.02436080808080808,0.005623369336933694,0.004491986198619863,0.055994714435890915,-0.009933553374729847,0.6523757575757576
100,10,0.1,1.0,0.4,student_t_heavy_tailed,500,0.4008470740230589,0.03599327190971759,0.3218820202020202,0.051567411852031626,0.31787865886588657,0.05105764134530221,0.8397886911849761,0.10687920248549235,0.30848081182544645,0.06018055729531979,0.3071967676767676,0.05062857775695265,0.30736042304230426,0.052378598652062035,0.6583960837923686,0.1316232966931669,0.03226699035812674,0.02934323563922051,0.049621818181818184,-0.049621818181818184,0.00905697869786979,0.00307979897989799,0.0375951946230584,-0.02041931374439114,0.5549939393939394
100,20,0.1,1.0,0.0,student_t_heavy_tailed,500,0.030332345423936348,0.023472617984176814,0.013305858585858588,0.0036337171128204607,0.005475919591959196,0.0022638999852652593,0.11973026973026969,0.11233126032783318,0.0,0.0,0.0035486868686868686,0.003353985072825115,0.0003202760276027603,0.0019347550828729583,-0.0003722943722943747,0.09825401202085168,0.030376309305172957,0.030332345423936348,0.013305858585858588,0.013305858585858588,0.005475919591959196,0.005475919591959196,0.11973026973026969,0.11973026973026969,0.7681559595959596
