comparison,left_environment_id,right_environment_id,perturbation_label,risk_left,risk_right,confidence_left,confidence_right,absolute_risk_change,response_program_shift,response_program_is_descriptive,risk_and_confidence_outcomes_used_for_evaluation_only,matching
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HLA-E,0.6942477182462607,0.8331761964147361,0.8648946192536808,0.8834030713520495,0.1389284781684753,0.846798817440178,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HLA-F,0.8380372878918213,0.7562252964928391,0.9671472680270082,0.8832612914263213,0.08181199139898221,0.9172173090099678,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HLA-H,0.6876101734937798,0.6764984121437225,0.9808900016581732,0.9478412669035569,0.011111761350057314,0.8388517660093928,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HNRNPA1,0.7520561438632429,0.9257731776052469,0.8532057520589014,0.8895438378926924,0.17371703374200398,0.7361573461164408,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HNRNPC,0.8381239075171609,1.0448458359481165,0.8372274137907412,0.8655327617944648,0.2067219284309556,1.0031884852632087,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,HSPA1A,0.619735177088685,0.7699585675865496,0.844607903198385,0.7651222682801925,0.1502233904978646,0.9161373959342073,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,IDH2,0.6586650061765027,0.8896040463273931,0.9319333927057954,0.8420747522606753,0.2309390401508904,0.842492524017032,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,IDI2-AS1,0.6318445613468877,0.5651280591931134,0.9789653337669538,0.9606294702693395,0.06671650215377434,0.8526825530937173,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,IFNGR1,0.6006815389761178,1.1240627450528773,0.7562746369170924,0.8737288417140089,0.5233812060767595,0.742506436386251,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,IFNGR2,0.7656269664543118,0.9237021892755267,0.7479981030178925,0.7876115746873689,0.1580752228212149,0.8278297406997356,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,ILF2,0.9668296763731271,0.9348507772970979,0.7515344837462782,0.8170779022388981,0.031978899076029244,0.9456567312891654,1,1,exact_perturbation_label_intersection
