dataset_id,perturbation_label,split_half_cosine,left_signature_groups,right_signature_groups,left_cells,right_cells,gene_count,split_seed,reproducibility_unit,raw_cell_expression_split
NormanWeissman2019_filtered,TGFBR2_PRTG,0.7933809738035401,8,8,131,134,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TMSB4X,0.6850631739008032,8,8,269,274,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TMSB4X_BAK1,0.5642362542170065,8,8,161,167,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TP73,0.9329090721106568,8,8,122,126,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,TSC22D1,0.5215539270082877,8,8,218,223,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,UBASH3A,0.5736657263947288,8,8,406,411,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,UBASH3B,0.8329514503872977,8,8,599,602,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,UBASH3B_CNN1,0.9423430873628982,8,8,199,203,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,UBASH3B_OSR2,0.7150963744582692,8,8,396,399,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,UBASH3B_PTPN12,0.8745246161596467,8,8,146,151,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,UBASH3B_PTPN9,0.9022569265381499,8,8,160,165,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,UBASH3B_UBASH3A,0.8396530764741152,8,8,275,278,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,UBASH3B_ZBTB25,0.8343501021487468,7,7,117,121,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZBTB1,0.8778606285226281,8,8,344,348,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZBTB10,0.7810205303031166,6,7,63,77,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZBTB10_ELMSAN1,0.8415123495212957,8,8,90,91,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZBTB10_PTPN12,0.8747983623920418,8,8,131,134,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZBTB25,0.8096905451541616,8,8,367,373,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZC3HAV1,0.6235076514292612,8,8,257,259,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZC3HAV1_CEBPE,0.7155757600154053,8,8,201,207,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZC3HAV1_HOXC13,0.8577984184188,8,8,307,311,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZNF318,0.5821711530813829,8,8,323,327,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ZNF318_FOXL2,0.734721001206207,7,7,111,116,33694,20260907,raw_cells_within_reference_perturbation_strata,1
ReplogleWeissman2022_rpe1,BCAR1,0.03294216601601934,16,17,180,197,8749,20260907,raw_cells_within_reference_perturbation_strata,1
ReplogleWeissman2022_rpe1,CCDC6,0.6415952260648047,25,35,283,394,8749,20260907,raw_cells_within_reference_perturbation_strata,1
ReplogleWeissman2022_rpe1,CLOCK,0.7021665451123152,5,5,53,56,8749,20260907,raw_cells_within_reference_perturbation_strata,1
ReplogleWeissman2022_rpe1,EPS8L1,0.04817067766697072,2,4,22,42,8749,20260907,raw_cells_within_reference_perturbation_strata,1
ReplogleWeissman2022_rpe1,FBXO42,0.2585138818200742,12,15,132,169,8749,20260907,raw_cells_within_reference_perturbation_strata,1
