comparison_id,axis,left_sample,right_sample,modality,target,risk_left_source_to_right_guides,risk_right_source_to_left_guides,confidence_left_source,confidence_right_source,source_within_guide_mse_left,source_within_guide_mse_right,response_program_shift,absolute_risk_change,left_guide_count,right_guide_count,shared_response_id_count,response_program_is_descriptive,destination_outcomes_used_for_evaluation_only,predictor
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,MGAT4B,0.15518576256137928,0.20362920484147795,-0.10529564369206278,-0.06071458596435067,0.11103903348708549,0.06259559120698684,0.9998081797812085,0.04844344228009867,4,4,12539,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,MOSMO,0.18332602076962545,0.23250786946955795,-0.10147611196682402,-0.05602264188987282,0.1068034787179222,0.05762163001798968,0.9824263826255406,0.0491818486999325,3,3,13288,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,MPG,0.15665887199065825,0.21045129224177966,-0.10893967116201751,-0.05949707406356315,0.11509507592200408,0.06130265567088271,0.987305821452069,0.05379242025112141,4,4,12569,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,NAMPT,0.3547662815964815,0.4984916555317346,-0.166496656517588,-0.03675056170716077,0.18115958667746784,0.037434212742214736,0.9948556659500859,0.1437253739352531,3,4,10140,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,NDUFV2,0.17110000932257846,0.2322250462415003,-0.12018256171122868,-0.06445508441176773,0.12770270812419476,0.0665776712052729,0.9408427672686134,0.06112503691892185,4,4,11775,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,OGFOD1,0.15731526366629844,0.20531335262963,-0.10318772136523363,-0.05893041302267487,0.10869951612912766,0.060701427165796115,0.9948674204638531,0.04799808896333155,4,4,12824,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,PDHA1,0.1666115312496952,0.22445083584108488,-0.1097729141822388,-0.056555463401396944,0.11602460832030996,0.05818530372892028,0.971658490186765,0.057839304591389695,4,4,12864,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,PYGB,0.1505081502051473,0.20954564331679673,-0.10950564487744126,-0.055140317244048116,0.11572636905598299,0.05668887594433352,1.0061173775677097,0.059037493111649436,4,4,12448,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,RPL29,0.1808908155331287,0.24093386999452682,-0.12795113883121087,-0.07367269255438896,0.1364974707456468,0.07645441628424872,0.9691283308866159,0.060043054461398127,4,4,10648,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,RPL9,0.32324946184713493,0.39466551986236387,-0.10773367469787734,-0.0414634154294917,0.11375108578983031,0.0423350277746014,0.9859627441528781,0.07141605801522893,2,2,12285,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,SH3KBP1,0.15093213360499616,0.2091151409087358,-0.10949142630535949,-0.055933634275620314,0.1157105051329625,0.05752749782922285,0.9852163091236411,0.05818300730373965,4,4,12795,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,SPAG7,0.17208748470282167,0.241396978725236,-0.12721404033356032,-0.06424214110265096,0.1356600688291382,0.06635057480672385,0.9209859099688255,0.06930949402241432,4,4,11638,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,STK24,0.15275786167917924,0.20794404321175344,-0.10495613941942245,-0.05399157854768032,0.11066189501183082,0.05547571347925667,1.0115487597086368,0.05518618153257421,4,4,12919,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,TMED4,0.161913283522095,0.21274754761897832,-0.10653420545591605,-0.059759977430891745,0.11241597649056541,0.06158171239368209,0.9732069144721511,0.050834264096883325,4,4,12634,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,TMSB10,0.17340393897800246,0.24734937974488955,-0.12916900346151136,-0.06197615346600244,0.13788241398320758,0.0639369732163205,0.9044491407240034,0.07394544076688708,4,4,10713,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,UBE2E1,0.15706087596704071,0.21808713841033664,-0.11155346733185437,-0.05542265115229916,0.11801351960736613,0.05698725716407019,0.9471282204242641,0.061026262443295926,4,4,12538,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,AKT2,0.2515624112882908,0.22535859287584184,-0.10336153006926378,-0.1267172754717402,0.10889223450276515,0.13509605291521418,0.7665109303281594,0.02620381841244898,3,3,12084,1,1,source_response_persistence_baseline
