scenario,environment_id,ptl_rf,u_only_rf,split_seed,delta_aurc_ptl_minus_u_only
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.689620887127851,0.7009610480345968,20260917,-0.011340160906745833
leave_predictor_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.2576531473839032,0.2981398481942829,20260917,-0.040486700810379694
leave_predictor_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.8869754474984216,0.8907628964519781,20260917,-0.003787448953556538
leave_predictor_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.515598432760307,0.5123748110432398,20260917,0.0032236217170672488
leave_predictor_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5239260566944508,0.5404590664231496,20260917,-0.016533009728698755
leave_predictor_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6853119375165923,0.6896795425944405,20260917,-0.00436760507784828
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.8105859390448306,0.8202332957773834,20260927,-0.009647356732552792
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.6920958328734544,0.7029852074596592,20260927,-0.010889374586204759
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.7038454548164158,0.7333619575102265,20260927,-0.029516502693810676
leave_predictor_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.2484664455484954,0.25480402562919763,20260927,-0.006337580080702232
leave_predictor_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.9090434015277588,0.9063414189393719,20260927,0.002701982588386831
leave_predictor_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5360599177200404,0.5371994172493745,20260927,-0.0011394995293341204
leave_predictor_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5252992774158347,0.5430242075703874,20260927,-0.017724930154552676
leave_predictor_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6975607015287859,0.7133994695948415,20260927,-0.015838768066055553
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.8077808579006329,0.8407536523143236,20261007,-0.03297279441369072
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.6863676430856357,0.6949393537340897,20261007,-0.008571710648453967
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.6971434265069911,0.7178182632699498,20261007,-0.02067483676295867
leave_predictor_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.29417088710684197,0.29977705909735136,20261007,-0.00560617199050939
leave_predictor_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.9101570767132766,0.9039770976885556,20261007,0.006179979024721005
leave_predictor_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5785624968697035,0.5681000390831104,20261007,0.01046245778659316
leave_predictor_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5142769691241558,0.5300029415577528,20261007,-0.01572597243359708
leave_predictor_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6566184485547456,0.675349322617914,20261007,-0.018730874063168423
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.8426435745115989,0.8595025083284339,20261017,-0.01685893381683501
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.7488961536965446,0.7479219494323562,20261017,0.0009742042641883719
leave_predictor_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.7268132325383935,0.7573762632755421,20261017,-0.03056303073714861
leave_predictor_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.3264532147628432,0.33246711757204794,20261017,-0.006013902809204719
leave_predictor_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.8771407344776884,0.8786103153539493,20261017,-0.001469580876260923
leave_predictor_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.47081786440204354,0.48112806887166754,20261017,-0.010310204469623996
leave_predictor_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5206388101614716,0.5391413008631992,20261017,-0.018502490701727603
leave_predictor_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6902497085389125,0.7068608106766999,20261017,-0.01661110213778738
