prediction_id,environment_id,predictor,uq_quantile,fidelity_delta_cosine,support_cells,perturbation_novelty
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cebpe__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.5271245,147,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__lyl1-cebpb__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.41561985,19,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__samd1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4990315,59,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__maml2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.22421977,100,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.17585409,143,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k6-ikzf3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4068494,31,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tgfbr2-igdcc3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.35298675,34,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__zc3hav1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.15462622,80,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-osr2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.16816933,47,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ncl__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.37975127,30,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn13__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.2938545,41,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cebpb-mapk1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.3068782,46,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__zbtb1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.3816643,89,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3-map2k6__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.24838908,64,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__samd1-ubash3b__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.43903273,30,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__fosb-ptpn12__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.30826026,41,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k6-spi1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.42833355,46,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-map7d1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.21442132,46,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__sgk1-tbx3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.41263682,32,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxf1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.31090307,109,0.35355339059327373
