aggregation_level,predictor,environment_id,split_family,method,n,aurc,excess_aurc,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,brier,log_loss,auroc,auprc,spearman_continuous_risk
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,support_novelty_only,171.0,0.2249440929905785,0.05990853810823732,0.23113526652978603,0.22573780990375655,0.18604651162790697,0.16788321167883213,0.4374644567061184,1.0957276545694374,0.44058641975308643,0.8200521272315713,-0.028348573211414315
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,ptl_rf,171.0,0.20034795337059882,0.03531239848825765,0.19706519151669602,0.22005393059693112,0.06976744186046513,0.13138686131386856,0.13179418905223797,0.38314011651800267,0.718235596707819,0.9383184542350418,0.3194494444044448
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,gbdt_uncalibrated,171.0,0.19673072741010925,0.03169517252776807,0.19183744316877321,0.2164237480882528,0.046511627906976716,0.12408759124087587,0.16053612076782334,0.5052064934127667,0.7604166666666666,0.9473128383426958,0.4387164902680779
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,ptl_context,171.0,0.2502851857415794,0.0852496308592382,0.24487873344400593,0.23613823856478625,0.2093023255813954,0.1970802919708029,0.2196697275018951,0.6322848089439618,0.3257458847736626,0.7952065733730587,-0.3875800993592052
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,ptl_full,171.0,0.25277153761718846,0.08773598273484728,0.25078321001384146,0.23613823856478625,0.2325581395348837,0.1970802919708029,0.15381034488303758,0.49197912355787743,0.2987397119341564,0.7832315552410349,-0.43727890176878587
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,ptl_no_id,171.0,0.25005191276819627,0.0850163578858551,0.24766849262943103,0.23613823856478625,0.22093023255813948,0.1970802919708029,0.20096914778184874,0.5942441154281853,0.28870884773662553,0.7691046094881758,-0.4132766937864497
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,raw_normalized_uq,3258.0,0.42721490800098477,0.08536465189228859,0.42501385998117563,0.4226359092154799,0.5377532228360957,0.5212888377445339,0.33620850541654895,0.9306171871021478,0.4867462156717001,0.4706391768477467,-0.02464799295393971
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,platt_logistic,3258.0,0.42807683788227735,0.08622658177358117,0.4239781489111913,0.4238732868614288,0.52731737262124,0.5247410817031071,0.2767347950259896,0.750981688635773,0.48423887049422487,0.46947479756871313,-0.02940959111013101
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,isotonic,3258.0,0.42309478228516145,0.08124452617646527,0.4244898578405339,0.42346853755572644,0.5260896255371393,0.5216724204065977,0.2558836701524959,0.7052164017462288,0.49682542618639297,0.4775740848719067,-0.018171950468003857
predictor_environment_split,mean_global,env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,dataset_heldout_split,support_novelty_only,3258.0,0.42237539979764316,0.08052514368894698,0.4221183703936322,0.4217033896450117,0.5082872928176796,0.5090141925584963,0.28166002267539236,0.7612881963068472,0.5149361064878029,0.4906016245275006,0.005406578295311678
